method,true_label,predicted_label,count
cbir_method1,benjamin,unknown,17
cbir_method1,qi_xuan,unknown,16
cbir_method1,yoke_hong,unknown,13
cbir_method1,daniel,unknown,13
cbir_method1,dylan,unknown,10
cbir_method1,chern_tak,unknown,9
cbir_method1,kang_kai,unknown,9
cbir_method1,wee_xuan,unknown,8
cbir_method1,xiang_yue,unknown,8
cbir_method1,yong_kang,unknown,8
cbir_method1,jing_ang,unknown,7
cbir_method1,xu_sheng,unknown,6
cbir_method1,marion,unknown,5
cbir_method1,han_soon,unknown,5
cbir_method1,chillien,unknown,5
cbir_method1,harry,unknown,4
cbir_method1,shuang_quan,unknown,4
cbir_method1,jun_wei,unknown,3
cbir_method1,ms_nurul,unknown,3
cbir_method1,zi_herng,unknown,3
cbir_method2,daniel,unknown,16
cbir_method2,benjamin,unknown,14
cbir_method2,yoke_hong,unknown,14
cbir_method2,qi_xuan,unknown,12
cbir_method2,jing_ang,unknown,11
cbir_method2,xiang_yue,unknown,10
cbir_method2,wee_xuan,unknown,10
cbir_method2,yong_kang,unknown,9
cbir_method2,chern_tak,unknown,9
cbir_method2,dylan,unknown,7
cbir_method2,xu_sheng,unknown,7
cbir_method2,marion,unknown,7
cbir_method2,kang_kai,unknown,6
cbir_method2,han_soon,unknown,6
cbir_method2,chillien,unknown,6
cbir_method2,jun_wei,unknown,4
cbir_method2,shuang_quan,unknown,3
cbir_method2,harry,unknown,3
cbir_method2,zi_herng,unknown,3
cbir_method2,ms_nurul,unknown,2
cbir_method3,benjamin,unknown,10
cbir_method3,jing_ang,unknown,10
cbir_method3,yoke_hong,unknown,10
cbir_method3,daniel,unknown,9
cbir_method3,qi_xuan,unknown,8
cbir_method3,kang_kai,unknown,8
cbir_method3,han_soon,unknown,8
cbir_method3,dylan,unknown,7
cbir_method3,xiang_yue,unknown,7
cbir_method3,xu_sheng,unknown,6
cbir_method3,chern_tak,unknown,5
cbir_method3,wee_xuan,unknown,5
cbir_method3,harry,unknown,4
cbir_method3,marion,unknown,4
cbir_method3,chillien,unknown,4
cbir_method3,jun_wei,unknown,3
cbir_method3,shuang_quan,unknown,3
cbir_method3,ms_nurul,unknown,2
cbir_method3,zi_herng,unknown,2
cbir_method3,isaac,unknown,1
